title,artist,year,era,url
The Happening,The Supremes,1967,hot100,https://en.wikipedia.org/wiki/The_Happening_(song)
Groovin',The Young Rascals,1967,hot100,https://en.wikipedia.org/wiki/Groovin%27
Respect,Aretha Franklin,1967,hot100,https://en.wikipedia.org/wiki/Respect_(song)
"""Groovin'""",The Young Rascals,1967,hot100,
Windy,The Association,1967,hot100,https://en.wikipedia.org/wiki/Windy_(The_Association_song)
Light My Fire,The Doors,1967,hot100,https://en.wikipedia.org/wiki/Light_My_Fire
All You Need Is Love,The Beatles,1967,hot100,https://en.wikipedia.org/wiki/All_You_Need_Is_Love
Ode to Billie Joe,Bobbie Gentry,1967,hot100,https://en.wikipedia.org/wiki/Ode_to_Billie_Joe
The Letter,The Box Tops,1967,hot100,https://en.wikipedia.org/wiki/The_Letter_(Box_Tops_song)
To Sir With Love,Lulu,1967,hot100,https://en.wikipedia.org/wiki/To_Sir_with_Love_(song)
Incense and Peppermints,Strawberry Alarm Clock,1967,hot100,https://en.wikipedia.org/wiki/Incense_and_Peppermints_(song)
Daydream Believer,The Monkees,1967,hot100,https://en.wikipedia.org/wiki/Daydream_Believer
"Hello, Goodbye",The Beatles,1967,hot100,"https://en.wikipedia.org/wiki/Hello,_Goodbye"
"Hello, Goodbye",The Beatles,1968,hot100,"https://en.wikipedia.org/wiki/Hello,_Goodbye"
Judy in Disguise (With Glasses),John Fred and His Playboy Band,1968,hot100,https://en.wikipedia.org/wiki/Judy_in_Disguise_(With_Glasses)
Green Tambourine,The Lemon Pipers,1968,hot100,https://en.wikipedia.org/wiki/Green_Tambourine
Love is Blue,Paul Mauriat,1968,hot100,https://en.wikipedia.org/wiki/L%27amour_est_bleu
(Sittin' On) The Dock of the Bay,Otis Redding,1968,hot100,https://en.wikipedia.org/wiki/(Sittin%27_On)_The_Dock_of_the_Bay
Honey,Bobby Goldsboro,1968,hot100,https://en.wikipedia.org/wiki/Honey_(Bobby_Goldsboro_song)
Tighten Up,Archie Bell & the Drells,1968,hot100,https://en.wikipedia.org/wiki/Tighten_Up_(Archie_Bell_%26_the_Drells_song)
Mrs. Robinson,Simon & Garfunkel,1968,hot100,https://en.wikipedia.org/wiki/Mrs._Robinson
This Guy's in Love with You,Herb Alpert,1968,hot100,https://en.wikipedia.org/wiki/This_Guy%27s_in_Love_with_You
