album,artist,date,genre,name,score,tags,url
Slime Language 2,"Young Stoner Life, Young Thug, Gunna",2021-04-19T23:39:00-0400,hip hop,"Young Stoner Life, Young Thug, Gunna - Slime Language 2",5,young stoner life | young thug | gunna | slime language | album | 2021 | ysl | rap | hip hop | trap | 5/10 | review,https://www.theneedledrop.com/articles/2021/4/young-stoner-life-young-thug-gunna-slime-language-2
G_d's Pee AT STATE'S END,Godspeed You! Black Emperor,2021-04-07T22:20:00-0400,rock,Godspeed You! Black Emperor - G_d's Pee AT STATE'S END,7,godspeed you! black emperor | gybe | God's pee | at state's end | constellation | rock | post-rock | 7/10 | review,https://www.theneedledrop.com/articles/2021/4/godspeed-you-black-emperor-gds-pee-at-states-end
Lei Line Eon,Iglooghost,2021-04-08T18:24:00-0400,electronic,Iglooghost - Lei Line Eon,6,iglooghost | lei line eon | 2021 | album | gloo | electronic | classical | deconstructed club | wonky | uk bass | 6/10 | review,https://www.theneedledrop.com/articles/2021/4/iglooghost-lei-line-eon
DEACON,serpentwithfeet,2021-04-09T21:27:00-0400,pop,serpentwithfeet - DEACON,5,serpentwithfeet | deacon | 2021 | album | secretly canadian | pop | alternative r&b | 5/10 | review,https://www.theneedledrop.com/articles/2021/4/serpentwithfeet-deacon
Promises,"Floating Points, Pharoah Sanders &amp; The London Symphony Orchestra",2021-04-11T21:51:00-0400,other,"Floating Points, Pharoah Sanders &amp; The London Symphony Orchestra - Promises",9,floating points | pharoah sanders | london symphony orchestra | lso | album | 2021 | promises | luaka bop | other | spiritual jazz | classical | electronic | collab | 9/10 | review,https://www.theneedledrop.com/articles/2021/4/floating-points-pharoah-sanders-amp-the-london-symphony-orchestra-promises
"ROADRUNNER: NEW LIGHT, NEW MACHINE",BROCKHAMPTON,2021-04-12T23:07:00-0400,brockhampton,"BROCKHAMPTON - ROADRUNNER: NEW LIGHT, NEW MACHINE",8,brockhampton | roadrunner | 2021 | album | rap | hip hop | alternative hip hop | rca | question everything | 8/10 | review,https://www.theneedledrop.com/articles/2021/4/brockhampton-roadrunner-new-light-new-machine
From Me to You,Quadeca,2021-04-05T23:33:00-0400,hip hop,Quadeca - From Me to You,5,quadeca | from me to you | album | 2021 | self-released | rap | hip hop | emo | trap | 5/10 | review,https://www.theneedledrop.com/articles/2021/4/quadeca-from-me-to-you
The Plugs I Met 2,Benny the Butcher &amp; Harry Fraud,2021-03-24T23:00:00-0400,hip hop,Benny the Butcher &amp; Harry Fraud - The Plugs I Met 2,7,benny the butcher | harry fraud | plugs i met | ep | 2021 | collab | black soprano family | griselda | rap | hip hop | gangsta | east coast | new york | buffalo | 7/10 | review,https://www.theneedledrop.com/articles/2021/3/benny-the-butcher-amp-harry-fraud-the-plugs-i-met-2
Palais d'argile,Feu! Chatterton,2021-03-25T23:03:00-0400,pop,Feu! Chatterton - Palais d'argile,8,feu chatterton | palais d'argile | 2021 | album | france | french | caroline | nouvelle chanson | pop | 8/10 | review,https://www.theneedledrop.com/articles/2021/3/feu-chatterton-palais-dargile
Is 4 Lovers,Death From Above 1979,2021-03-29T23:12:00-0400,rock,Death From Above 1979 - Is 4 Lovers,6,death from above 1979 | is 4 lovers | album | 2021 | self-released | rock | dance-punk | 6/10 | review,https://www.theneedledrop.com/articles/2021/3/death-from-above-1979-is-4-lovers
Clouds,NF,2021-03-30T23:16:00-0400,hip hop,NF - Clouds,5,nf | clouds | mixtape | album | 2021 | self-released | rap | hip hop | conscious | pop rap | 5/10 | review,https://www.theneedledrop.com/articles/2021/3/nf-clouds
Haram,Armand Hammer &amp; The Alchemist,2021-04-02T19:22:00-0400,hip hop,Armand Hammer &amp; The Alchemist - Haram,8,armand hammer | the alchemist | haram | 2021 | album | collab | backwoodz studioz | rap | hip hop | abstract hip hop | 8/10 | review,https://www.theneedledrop.com/articles/2021/4/armand-hammer-amp-the-alchemist-haram
OH NO,Xiu Xiu,2021-04-03T22:41:00-0400,pop,Xiu Xiu - OH NO,7,xiu xiu | oh no | 2021 | album | polyvinyl | pop | experimental | duet | 7/10 | review,https://www.theneedledrop.com/articles/2021/4/xiu-xiu-oh-no
Smiling with No Teeth,Genesis Owusu,2021-03-08T23:30:00-0500,pop,Genesis Owusu - Smiling with No Teeth,8,genesis owusu | smiling with no teeth | 2021 | album | debut | australia | pop | neo-soul | house anxiety | ourness | alternative hip hop | rap | 8/10 | review,https://www.theneedledrop.com/articles/2021/3/genesis-owusu-smiling-with-no-teeth
Unlocked 1.5,Denzel Curry x Kenny Beats,2021-03-09T22:48:00-0500,hip hop,Denzel Curry x Kenny Beats - Unlocked 1.5,6,denzel curry | kenny beats | unlocked | remix | album | 2021 | loma vista | rap | hip hop | collab | 6/10 | review,https://www.theneedledrop.com/articles/2021/3/denzel-curry-x-kenny-beats-unlocked-15
Yol,Altın Gün,2021-03-12T17:55:00-0500,rock,Altın Gün - Yol,7,altin gun | yol | 2021 | album | ato | rock | anatolian | turkish | synthpop | 7/10 | review,https://www.theneedledrop.com/articles/2021/3/altn-gn-yol
El Madrileño,C. Tangana,2021-03-13T17:57:00-0500,pop,C. Tangana - El Madrileño,7,c tangana | el madrileno | album | 2021 | sony | pop | alternative r&b | latin pop | spanish | spain | 7/10 | review,https://www.theneedledrop.com/articles/2021/3/c-tangana-el-madrileo
Spare Ribs,Sleaford Mods,2021-03-18T22:48:00-0400,hip hop,Sleaford Mods - Spare Ribs,41,sleaford mods | spare ribs | 2021 | album | uk | rough trade | hip hop | post-punk | 41/0 | review,https://www.theneedledrop.com/articles/2021/3/sleaford-mods-spare-ribs
BREAKING UP,Rural Internet,2021-03-19T22:50:00-0400,hip hop,Rural Internet - BREAKING UP,7,rural internet | breaking up | 2021 | album | self-released | rap | hip hop | experimental | glitch pop | 7/10 | review,https://www.theneedledrop.com/articles/2021/3/rural-internet-breaking-up
Justice,Justin Bieber,2021-03-22T23:51:00-0400,pop,Justin Bieber - Justice,3,justin bieber | justice | 2021 | album | def jam | pop | 3/10 | review,https://www.theneedledrop.com/articles/2021/3/justin-bieber-justice
Chemtrails Over the Country Club,Lana Del Rey,2021-03-23T23:53:00-0400,dream pop,Lana Del Rey - Chemtrails Over the Country Club,7,lana del rey | chemtrails over the country club | cocc | 2021 | album | interscope | singer-songwriter | dream pop | pop | soft rock | americana | folk | 7/10 | review,https://www.theneedledrop.com/articles/2021/3/lana-del-rey-chemtrails-over-the-country-club
If It Bleeds It Can Be Killed,Conway &amp; Big Ghost Ltd,2021-02-25T20:41:10-0500,hip hop,Conway &amp; Big Ghost Ltd - If It Bleeds It Can Be Killed,7,conway the machine | big ghost | if it bleeds it can be killed | album | 2021 | collab | rap | hip hop | gangsta | east coast | 7/10 | review,https://www.theneedledrop.com/articles/2021/2/conway-amp-big-ghost-ltd-if-it-bleeds-it-can-be-killed
As the Love Continues,Mogwai,2021-02-26T21:27:00-0500,rock,Mogwai - As the Love Continues,6,mogwai | as the love continues | album | 2021 | temporary residence | rock | post-rock | instrumental | 6/10 | review,https://www.theneedledrop.com/articles/2021/2/mogwai-as-the-love-continues
L.W.,King Gizzard &amp; The Lizard Wizard,2021-03-01T23:30:00-0500,rock,King Gizzard &amp; The Lizard Wizard - L.W.,7,king gizzard | lw | 2021 | album | australia | flightless | rock | microtonal | psychedelic | 7/10 | review,https://www.theneedledrop.com/articles/2021/3/king-gizzard-amp-the-lizard-wizard-lw
Carnage,Nick Cave &amp; Warren Ellis,2021-03-02T23:32:00-0500,other,Nick Cave &amp; Warren Ellis - Carnage,8,nick cave | warren ellis | carnage | 2021 | collab | goliath | other | singer-songwriter | chamber pop | ambient | 8/10 | review,https://www.theneedledrop.com/articles/2021/3/nick-cave-amp-warren-ellis-carnage
Little Oblivions,Julien Baker,2021-03-03T23:59:00-0500,rock,Julien Baker - Little Oblivions,4,julien baker | little oblivions | 2021 | album | matador | rock | singer-songwriter | indie | folk | 4/10 | review,https://www.theneedledrop.com/articles/2021/3/julien-baker-little-oblivions
Neon Shark vs. Pegasus,Trippie Redd,2021-02-22T23:32:00-0500,rock,Trippie Redd - Neon Shark vs. Pegasus,4,trippie redd | travis barker | neon shark | pegasus | deluxe | album | 2021 | tenthousand projects | rap | rock | pop punk | emo trap | 4/10 | review,https://www.theneedledrop.com/articles/2021/2/trippie-redd-neon-shark-vs-pegasus
Imperative Imperceptible Impulse,Ad Nauseam,2021-02-23T23:34:39-0500,loud rock,Ad Nauseam - Imperative Imperceptible Impulse,8,ad nauseam | imperative imperceptible impulse | album | 2021 | italy | avantgarde | loud rock | metal | tech death | modern classical | 8/10 | review,https://www.theneedledrop.com/articles/2021/2/ad-nauseam-imperative-imperceptible-impulse
Who Am I?,Pale Waves,2021-02-17T23:35:00-0500,rock,Pale Waves - Who Am I?,5,pale waves | who am i | 2021 | dirty hit | album | rock | pop rock | alternative | 5/10 | review,https://www.theneedledrop.com/articles/2021/2/pale-waves-who-am-i
Forever in Your Heart,Black Dresses,2021-02-18T22:37:22-0500,other,Black Dresses - Forever in Your Heart,8,black dresses | forever in your heart | 2021 | album | self-released | other | industrial | noise pop | glitch | electro-industrial | 8/10 | review,https://www.theneedledrop.com/articles/2021/2/black-dresses-forever-in-your-heart
Medicine at Midnight,Foo Fighters,2021-02-08T23:00:00-0500,rock,Foo Fighters - Medicine at Midnight,5,foo fighters | medicine at midnight | 2021 | album | roswell | rock | hard rock | alternative | dave grohl | 5/10 | review,https://www.theneedledrop.com/articles/2021/2/foo-fighters-medicine-at-midnight
For the first time,"Black Country, New Road",2021-02-09T23:03:00-0500,rock,"Black Country, New Road - For the first time",8,black country new road | for the first time | album | 2021 | ninja tune | rock | art rock | post-punk | klezmer | 8/10 | review,https://www.theneedledrop.com/articles/2021/2/black-country-new-road-for-the-first-time
FLOWERS for VASES / descansos,Hayley Williams,2021-02-10T23:08:00-0500,other,Hayley Williams - FLOWERS for VASES / descansos,5,hayley williams | flowers for vases | descansos | album | 2021 | atlantic | other | indie | folk | singer-songwriter | 5/10 | review,https://www.theneedledrop.com/articles/2021/2/hayley-williams-flowers-for-vases-descansos
Ignorance,The Weather Station,2021-02-11T23:11:00-0500,pop,The Weather Station - Ignorance,5,weather station | ignorance | 2021 | album | fat possum | indie | pop | sophisti-pop | chamber pop | 5/10 | review,https://www.theneedledrop.com/articles/2021/2/the-weather-station-ignorance
